year,team,conference,sp_defense,sos_z,sos_score
2019,Rutgers,Big Ten,84,0.49726347309504526,54.97263473095045
2019,Texas State,Sun Belt,94,0.7628520166544368,57.62852016654437
2019,New Mexico,Mountain West,123,1.5330587929766724,65.33058792976672
2019,UNLV,Mountain West,114,1.29402910377322,62.940291037732194
2019,Rice,American Athletic,96,0.8159697253663152,58.159697253663154
2019,South Alabama,Sun Belt,101,0.9487639971460109,59.48763997146011
2019,New Mexico State,Conference USA,126,1.61273535604449,66.1273535604449
2019,UTSA,American Athletic,128,1.665853064756368,66.65853064756368
2019,UConn,FBS Independents,125,1.5861765016885507,65.8617650168855
2019,Old Dominion,Sun Belt,104,1.0284405602138285,60.284405602138285
2019,UTEP,Conference USA,129,1.6924119191123073,66.92411919112307
2019,Bowling Green,Mid-American,124,1.5596176473326115,65.59617647332611
2019,Akron,Mid-American,108,1.134675977637585,61.34675977637585
2019,Massachusetts,Mid-American,130,1.7189707734682464,67.18970773468246
2020,Ohio State,Big Ten,7,-1.5472513610753524,34.52748638924648
2020,Alabama,SEC,12,-1.414536477900507,35.85463522099493
2020,Wisconsin,Big Ten,2,-1.679966244250198,33.20033755749802
2020,Clemson,ACC,7,-1.5472513610753524,34.52748638924648
2020,Notre Dame,FBS Independents,11,-1.441079454535476,35.58920545464524
2020,Florida,SEC,34,-0.8305909919311867,41.694090080688134
2020,BYU,Big 12,20,-1.2021926648207542,37.97807335179246
2020,Georgia,SEC,1,-1.7065092208851669,32.93490779114833
2020,Cincinnati,Big 12,6,-1.5737943377103214,34.262056622896786
2020,Oregon,Big Ten,10,-1.467622431170445,35.32377568829555
2020,North Carolina,ACC,47,-0.48553229567658845,45.14467704323412
2020,Oklahoma,SEC,42,-0.6182471788514339,43.81752821148566
2020,Iowa,Big Ten,3,-1.6534232676152287,33.465767323847714
2020,Texas A&M,SEC,25,-1.0694777816459087,39.30522218354091
2020,Oklahoma State,Big 12,7,-1.5472513610753524,34.52748638924648
2020,Penn State,Big Ten,23,-1.1225637349158468,38.77436265084153
2020,Virginia Tech,ACC,38,-0.7244190853913103,42.7558091460869
2020,UCF,Big 12,51,-0.37936038913671205,46.20639610863288
2020,Iowa State,Big 12,24,-1.0960207582808776,39.03979241719122
2020,Miami,ACC,19,-1.2287356414557231,37.71264358544277
2020,Auburn,SEC,22,-1.1491067115508158,38.50893288449184
2020,USC,Big Ten,45,-0.5386182489465267,44.61381751053473
2020,Utah,Big 12,37,-0.7509620620262795,42.490379379737206
2020,Washington,Big Ten,17,-1.2818215947256613,37.18178405274339
2020,Arizona State,Big 12,14,-1.3614505246305686,36.38549475369432
2020,Indiana,Big Ten,28,-0.9898488517410013,40.101511482589984
2020,Michigan,Big Ten,26,-1.0429348050109395,39.5706519498906
2020,App State,Sun Belt,28,-0.9898488517410013,40.101511482589984
2020,Texas,SEC,42,-0.6182471788514339,43.81752821148566
2020,Marshall,Sun Belt,16,-1.3083645713606304,36.9163542863937
2020,SMU,ACC,60,-0.14047359942199017,48.595264005780095
2020,Northwestern,Big Ten,5,-1.6003373143452906,33.996626856547095
2020,West Virginia,Big 12,18,-1.2552786180906923,37.44721381909308
2020,Louisiana,Sun Belt,47,-0.48553229567658845,45.14467704323412
2020,Nebraska,Big Ten,53,-0.32627443586677385,46.73725564133226
2020,Boise State,Mountain West,54,-0.2997314592318048,47.00268540768195
2020,Coastal Carolina,Sun Belt,60,-0.14047359942199017,48.595264005780095
2020,Louisville,ACC,87,0.5761867697221754,55.76186769722175
2020,Liberty,Conference USA,64,-0.034301692882113786,49.656983071178864
2020,UAB,American Athletic,13,-1.3879935012655378,36.12006498734462
2020,LSU,SEC,69,0.0984131902927317,50.98413190292732
2020,Pittsburgh,ACC,14,-1.3614505246305686,36.38549475369432
2020,Purdue,Big Ten,57,-0.22010252932689747,47.79897470673102
2020,Memphis,American Athletic,73,0.2045850968326081,52.04585096832608
2020,Tulsa,American Athletic,31,-0.910219921836094,40.89780078163906
2020,San Diego State,Mountain West,4,-1.6268802909802595,33.731197090197405
2020,Ole Miss,SEC,99,0.8947024893418046,58.947024893418046
2020,Minnesota,Big Ten,86,0.5496437930872063,55.49643793087206
2020,Tulane,American Athletic,72,0.178042120197639,51.78042120197639
2020,Washington State,Pac-12,101,0.9477884426117428,59.47788442611743
2020,Houston,Big 12,71,0.15149914356266989,51.5149914356267
2020,Army,American Athletic,44,-0.5651612255814957,44.34838774418505
2020,California,ACC,68,0.0718702136577626,50.718702136577626
2020,Troy,Sun Belt,52,-0.352817412501743,46.47182587498257
2020,Kentucky,SEC,35,-0.8040480152962176,41.959519847037825
2020,Kansas State,Big 12,40,-0.6713331321213721,43.28666867878628
2020,Nevada,Mountain West,47,-0.48553229567658845,45.14467704323412
2020,Arkansas,SEC,56,-0.24664550596186657,47.53354494038133
2020,Stanford,ACC,70,0.1249561669277008,51.24956166927701
2020,TCU,Big 12,30,-0.9367628984710631,40.632371015289365
2020,Buffalo,Mid-American,47,-0.48553229567658845,45.14467704323412
2020,Baylor,Big 12,36,-0.7775050386612485,42.224949613387516
2020,Tennessee,SEC,32,-0.8836769452011249,41.163230547988746
2020,Virginia,ACC,63,-0.06084466951708289,49.39155330482917
2020,Boston College,ACC,76,0.2842140267375154,52.84214026737516
2020,Wake Forest,ACC,66,0.018784260387824405,50.187842603878245
2020,Western Michigan,Mid-American,88,0.6027297463571446,56.02729746357144
2020,Georgia Southern,Sun Belt,59,-0.16701657605695927,48.329834239430404
2020,San José State,Mountain West,83,0.47001486318229907,54.70014863182299
2020,NC State,ACC,80,0.3903859332773918,53.90385933277392
2020,Maryland,Big Ten,67,0.0453272370227935,50.453272370227936
2020,Florida Atlantic,American Athletic,33,-0.8571339685661558,41.428660314338444
2020,Colorado,Big 12,83,0.47001486318229907,54.70014863182299
2020,Oregon State,Pac-12,80,0.3903859332773918,53.90385933277392
2020,Missouri,SEC,39,-0.6978761087563412,43.02123891243659
2020,Georgia Tech,ACC,65,-0.007758716247144692,49.922412837528555
2020,UCLA,Big Ten,92,0.7089016528970209,57.089016528970205
2020,Mississippi State,SEC,58,-0.19355955269192837,48.064404473080714
2020,Central Michigan,Mid-American,62,-0.08738764615205198,49.12612353847948
2020,South Carolina,SEC,76,0.2842140267375154,52.84214026737516
2020,Michigan State,Big Ten,21,-1.175649688185785,38.24350311814215
