Rank,Player (Team / Bye),POS,AVG
152,T.J. Hockenson   MIN (6),TE22,153.3
153,Tyler Allgeier   ARI (14),RB49,153.3
154,Jonah Coleman   DEN (10),RB50,153.3
155,Jalen McMillan   TB (10),WR58,153.7
156,Bryce Young   CAR (5),QB26,154.7
157,Jauan Jennings   MIN (6),WR59,155.3
158,Jalen Nailor   LV (13),WR60,155.7
159,Omar Cooper Jr.   NYJ (13),WR61,156.0
160,Alvin Kamara   NO (8),RB51,163.0
161,Denzel Boston   CLE (11),WR62,163.0
162,Brian Robinson Jr.   ATL (11),RB52,164.3
163,Dalton Schultz   HOU (8),TE23,167.3
164,Dylan Sampson   CLE (11),RB53,168.0
165,Aaron Rodgers   PIT (9),QB27,168.7
166,Tre Tucker   LV (13),WR63,170.3
167,Tank Bigsby   PHI (10),RB54,170.3
168,Fernando Mendoza   LV (13),QB28,172.3
169,Jacoby Brissett   ARI (14),QB29,173.0
170,Deebo Samuel Sr.,WR64,174.0
171,Jerry Jeudy   CLE (11),WR65,174.7
172,Antonio Williams   WAS (7),WR66,175.7
173,Geno Smith   NYJ (13),QB30,178.0
174,Calvin Ridley   TEN (9),WR67,179.3
175,Greg Dulcich   MIA (6),TE24,179.7
176,AJ Barner   SEA (11),TE25,180.0
177,Brandon Aiyuk   SF (8),WR68,180.7
178,Isaac TeSlaa   DET (6),WR69,181.0
179,Gunnar Helm   TEN (9),TE26,182.0
180,Sean Tucker   TB (10),RB55,183.0
181,Nicholas Singleton   TEN (9),RB56,183.7
182,Cade Otton   TB (10),TE27,183.7
183,David Njoku   LAC (7),TE28,184.0
184,Tyreek Hill,WR70,185.0
185,Malik Washington   MIA (6),WR71,185.0
186,Emmett Johnson   KC (5),RB57,186.0
187,Tre' Harris   LAC (7),WR72,187.0
188,Ryan Flournoy   DAL (14),WR73,187.3
189,Adonai Mitchell   NYJ (13),WR74,188.3
190,Mike Washington Jr.   LV (13),RB58,189.3
191,Zachariah Branch   ATL (11),WR75,191.3
192,Pat Freiermuth   PIT (9),TE29,193.0
193,Tank Dell   HOU (8),WR76,194.7
194,De'Zhaun Stribling   SF (8),WR77,195.3
195,Braelon Allen   NYJ (13),RB59,196.0
196,Kaytron Allen   WAS (7),RB60,198.0
197,Kayshon Boutte   NE (11),WR78,198.7
198,Tua Tagovailoa   ATL (11),QB31,199.0
199,Eli Stowers   PHI (10),TE30,199.3
200,Ray Davis   BUF (7),RB61,202.7
201,Terrance Ferguson   LAR (11),TE31,203.3
202,Germie Bernard   PIT (9),WR79,205.3
203,Travis Hunter   JAC (7),WR80,175.5
204,Emanuel Wilson   SEA (11),RB62,207.7
205,Kimani Vidal   LAC (7),RB63,210.0
206,MarShawn Lloyd   GB (11),RB64,210.7
207,Jordan James   SF (8),RB65,211.3
208,Malachi Fields   NYG (8),WR81,211.7
209,Dontayvion Wicks   PHI (10),WR82,213.7
210,Justice Hill   BAL (13),RB66,214.7
211,Shedeur Sanders   CLE (11),QB32,215.7
212,Chris Bell   MIA (6),WR83,216.7
213,Jaydon Blue   DAL (14),RB67,217.0
214,Darnell Mooney   NYG (8),WR84,217.0
215,Deshaun Watson   CLE (11),QB33,219.0
216,Christian Kirk   SF (8),WR85,220.0
217,Keon Coleman   BUF (7),WR86,220.3
218,Colby Parkinson   LAR (11),TE32,221.0
219,James Conner   ARI (14),RB68,221.0
220,George Holani   SEA (11),RB69,221.7
221,Ted Hurst III   TB (10),WR87,222.3
222,Cooper Kupp   SEA (11),WR88,222.3
223,Mike Gesicki   CIN (6),TE33,223.3
224,Michael Penix Jr.   ATL (11),QB34,224.0
225,Demond Claiborne   MIN (6),RB70,224.3
226,Evan Engram   DEN (10),TE34,225.0
227,Tyquan Thornton   KC (5),WR89,227.0
228,Troy Franklin   DEN (10),WR90,228.0
229,Chris Brazzell II   CAR (5),WR91,229.0
230,Jaylen Wright   MIA (6),RB71,230.3
231,Elijah Sarratt   BAL (13),WR92,231.0
232,Jake Tonges   SF (8),TE35,231.0
233,Kaelon Black   SF (8),RB72,231.3
234,Jaylin Noel   HOU (8),WR93,232.3
235,Devaughn Vele   NO (8),WR94,236.7
236,Kirk Cousins   LV (13),QB35,237.7
237,Austin Ekeler,RB73,291.0
238,Tory Horton   SEA (11),WR95,225.0
239,Pat Bryant   DEN (10),WR96,240.0
240,Samaje Perine   CIN (6),RB74,241.0
241,Skyler Bell   BUF (7),WR97,228.5
242,Ty Johnson   BUF (7),RB75,243.0
243,Rashod Bateman   BAL (13),WR98,231.5
244,Adam Randall   BAL (13),RB76,245.3
245,Ja'Kobi Lane   BAL (13),WR99,236.0
246,DJ Giddens   IND (13),RB77,237.0
247,Theo Johnson   NYG (8),TE36,247.3
248,Caleb Douglas   MIA (6),WR100,238.0
249,Chris Brooks   GB (11),RB78,249.7
250,Keenan Allen   LAC (7),WR101,248.7
251,Jalen Tolbert   MIA (6),WR102,240.0
252,Michael Mayer   LV (13),TE37,250.7
253,Carson Beck   ARI (14),QB36,243.5
254,Justin Fields   KC (5),QB37,268.5
255,Ollie Gordon II   MIA (6),RB79,244.5
256,Jack Bech   LV (13),WR103,253.0
257,Darnell Washington   PIT (9),TE38,246.5
258,Chimere Dike   TEN (9),WR104,255.0
259,Hollywood Brown   PHI (10),WR105,256.0
260,Joe Mixon,RB80,301.5
261,Andrei Iosivas   CIN (6),WR106,232.0
262,Malik Davis   DAL (14),RB81,250.0
263,Mason Taylor   NYJ (13),TE39,257.0
264,Emari Demercado   KC (5),RB82,254.5
265,Devin Singletary   NYG (8),RB83,267.0
266,Kaleb Johnson   PIT (9),RB84,273.5
267,Zavion Thomas   CHI (10),WR107,241.0
